question_id,question_text,source
Q4.1.1.1,你们有没有采取什么措施来应对通过冒充手段进行的消息欺骗？比如在车队行驶中的 802.11p V2X 通信或 GNSS（全球导航卫星系统）消息中。,Q4.1.1
Q4.1.1.2,具体采取了哪些措施？,Q4.1.1
Q4.1.1.3,在技术上遇到了哪些障碍？,Q4.1.1
Q4.1.1.4,在管理上遇到了哪些障碍？,Q4.1.1
Q4.1.1.5,你们如何检查这些措施的效果？,Q4.1.1
Q4.1.2.1,你们有没有采取措施来应对“女巫攻击”（即伪造多个虚假车辆，让系统以为路上有很多车）？,Q4.1.2
Q4.1.2.2,具体采取了哪些措施？,Q4.1.2
Q4.1.2.3,在技术上遇到了哪些障碍？,Q4.1.2
Q4.1.2.4,在管理上遇到了哪些障碍？,Q4.1.2
Q4.1.2.5,你们如何检查这些措施的效果？,Q4.1.2
Q4.1.3.1,你们有没有实施什么措施来应对通过通信渠道进行的代码注入攻击？比如在通信流中注入篡改过的软件二进制文件，从而影响车内的数据或代码。,Q4.1.3
Q4.1.3.2,具体采取了哪些措施？,Q4.1.3
Q4.1.3.3,在技术上遇到了哪些障碍？,Q4.1.3
Q4.1.3.4,在管理上遇到了哪些障碍？,Q4.1.3
Q4.1.3.5,你们如何检查这些措施的效果？,Q4.1.3
Q4.1.4.1,你们有没有实施什么措施来应对利用通信渠道操纵车内数据或代码的威胁？,Q4.1.4
Q4.1.4.2,具体采取了哪些措施？,Q4.1.4
Q4.1.4.3,在技术上遇到了哪些障碍？,Q4.1.4
Q4.1.4.4,在管理上遇到了哪些障碍？,Q4.1.4
Q4.1.4.5,你们如何检查这些措施的效果？,Q4.1.4
Q4.1.5.1,你们有没有实施什么措施来应对利用通信渠道覆盖车内数据或代码的威胁？,Q4.1.5
Q4.1.5.2,具体采取了哪些措施？,Q4.1.5
Q4.1.5.3,在技术上遇到了哪些障碍？,Q4.1.5
Q4.1.5.4,在管理上遇到了哪些障碍？,Q4.1.5
Q4.1.5.5,你们如何检查这些措施的效果？,Q4.1.5
Q4.1.6.1,你们有没有实施什么措施来应对利用通信渠道擦除车内数据或代码的威胁？,Q4.1.6
Q4.1.6.2,具体采取了哪些措施？,Q4.1.6
Q4.1.6.3,在技术上遇到了哪些障碍？,Q4.1.6
Q4.1.6.4,在管理上遇到了哪些障碍？,Q4.1.6
Q4.1.6.5,你们如何检查这些措施的效果？,Q4.1.6
Q4.1.7.1,你们有没有实施什么措施来应对利用通信渠道向车辆系统引入数据或代码的威胁？,Q4.1.7
Q4.1.7.2,具体采取了哪些措施？,Q4.1.7
Q4.1.7.3,在技术上遇到了哪些障碍？,Q4.1.7
Q4.1.7.4,在管理上遇到了哪些障碍？,Q4.1.7
Q4.1.7.5,你们如何检查这些措施的效果？,Q4.1.7
Q4.1.8.1,你们有没有采取措施来应对“接受来自不可靠或不信任来源的信息”这一威胁？,Q4.1.8
Q4.1.8.2,具体采取了哪些措施？,Q4.1.8
Q4.1.8.3,在技术上遇到了哪些障碍？,Q4.1.8
Q4.1.8.4,在管理上遇到了哪些障碍？,Q4.1.8
Q4.1.8.5,你们如何检查这些措施的效果？,Q4.1.8
Q4.1.9.1,你们有没有实施什么措施来应对中间人攻击（MITM）或会话劫持？,Q4.1.9
Q4.1.9.2,具体采取了哪些措施？,Q4.1.9
Q4.1.9.3,在技术上遇到了哪些障碍？,Q4.1.9
Q4.1.9.4,在管理上遇到了哪些障碍？,Q4.1.9
Q4.1.9.5,你们如何检查这些措施的效果？,Q4.1.9
Q4.1.10.1,你们有没有采取措施来应对“重放攻击”？比如针对通信网关的攻击，导致攻击者能够降级 ECU 的软件或网关的固件。,Q4.1.10
Q4.1.10.2,具体采取了哪些措施？,Q4.1.10
Q4.1.10.3,在技术上遇到了哪些障碍？,Q4.1.10
Q4.1.10.4,在管理上遇到了哪些障碍？,Q4.1.10
Q4.1.10.5,你们如何检查这些措施的效果？,Q4.1.10
Q4.1.11.1,你们有没有实施什么措施来应对信息拦截、通信监控或通过辐射信号进行的干扰？,Q4.1.11
Q4.1.11.2,具体采取了哪些措施？,Q4.1.11
Q4.1.11.3,在技术上遇到了哪些障碍？,Q4.1.11
Q4.1.11.4,在管理上遇到了哪些障碍？,Q4.1.11
Q4.1.11.5,你们如何检查这些措施的效果？,Q4.1.11
Q4.1.12.1,你们有没有实施什么措施来应对未经授权访问文件或数据的威胁？,Q4.1.12
Q4.1.12.2,具体采取了哪些措施？,Q4.1.12
Q4.1.12.3,在技术上遇到了哪些障碍？,Q4.1.12
Q4.1.12.4,在管理上遇到了哪些障碍？,Q4.1.12
Q4.1.12.5,你们如何检查这些措施的效果？,Q4.1.12
Q4.1.13.1,你们有没有采取措施来应对“向车辆信息系统发送大量垃圾数据，导致其无法正常提供服务”的威胁？,Q4.1.13
Q4.1.13.2,具体采取了哪些措施？,Q4.1.13
Q4.1.13.3,在技术上遇到了哪些障碍？,Q4.1.13
Q4.1.13.4,在管理上遇到了哪些障碍？,Q4.1.13
Q4.1.13.5,你们如何检查这些措施的效果？,Q4.1.13
Q4.1.14.1,你们有没有实施什么措施来应对黑洞攻击（即故意丢弃或拦截车辆之间的消息）？,Q4.1.14
Q4.1.14.2,具体采取了哪些措施？,Q4.1.14
Q4.1.14.3,在技术上遇到了哪些障碍？,Q4.1.14
Q4.1.14.4,在管理上遇到了哪些障碍？,Q4.1.14
Q4.1.14.5,你们如何检查这些措施的效果？,Q4.1.14
Q4.1.15.1,你们有没有实施什么措施来应对权限提升的风险？即普通用户获得了高级权限或 root 访问权限。,Q4.1.15
Q4.1.15.2,具体采取了哪些措施？,Q4.1.15
Q4.1.15.3,在技术上遇到了哪些障碍？,Q4.1.15
Q4.1.15.4,在管理上遇到了哪些障碍？,Q4.1.15
Q4.1.15.5,你们如何检查这些措施的效果？,Q4.1.15
Q4.1.16.1,你们有没有实施什么措施来应对通信介质中嵌入的恶意软件感染车辆系统的风险？,Q4.1.16
Q4.1.16.2,具体采取了哪些措施？,Q4.1.16
Q4.1.16.3,在技术上遇到了哪些障碍？,Q4.1.16
Q4.1.16.4,在管理上遇到了哪些障碍？,Q4.1.16
Q4.1.16.5,你们如何检查这些措施的效果？,Q4.1.16
Q4.1.17.1,你们有没有采取措施来应对恶意内部消息（例如 CAN 总线上的消息）的威胁？,Q4.1.17
Q4.1.17.2,具体采取了哪些措施？,Q4.1.17
Q4.1.17.3,在技术上遇到了哪些障碍？,Q4.1.17
Q4.1.17.4,在管理上遇到了哪些障碍？,Q4.1.17
Q4.1.17.5,你们如何检查这些措施的效果？,Q4.1.17
Q4.1.18.1,你们有没有采取措施来应对恶意的 V2X 消息？比如路侧基础设施对车辆或车对车消息（如 CAM、DENM）。,Q4.1.18
Q4.1.18.2,具体采取了哪些措施？,Q4.1.18
Q4.1.18.3,在技术上遇到了哪些障碍？,Q4.1.18
Q4.1.18.4,在管理上遇到了哪些障碍？,Q4.1.18
Q4.1.18.5,你们如何检查这些措施的效果？,Q4.1.18
Q4.1.19.1,你们有没有采取措施来应对恶意的诊断消息？,Q4.1.19
Q4.1.19.2,具体采取了哪些措施？,Q4.1.19
Q4.1.19.3,在技术上遇到了哪些障碍？,Q4.1.19
Q4.1.19.4,在管理上遇到了哪些障碍？,Q4.1.19
Q4.1.19.5,你们如何检查这些措施的效果？,Q4.1.19
Q4.1.20.1,你们有没有采取措施来应对恶意的私有协议消息（例如通常由 OEM 或零部件/系统/功能供应商发送的消息）？,Q4.1.20
Q4.1.20.2,具体采取了哪些措施？,Q4.1.20
Q4.1.20.3,在技术上遇到了哪些障碍？,Q4.1.20
Q4.1.20.4,在管理上遇到了哪些障碍？,Q4.1.20
Q4.1.20.5,你们如何检查这些措施的效果？,Q4.1.20
Q4.2.1.1,你们有没有采取措施来应对 OTA（空中下载）软件更新过程中的攻击？,Q4.2.1
Q4.2.1.2,具体采取了哪些措施？,Q4.2.1
Q4.2.1.3,在技术上遇到了哪些障碍？,Q4.2.1
Q4.2.1.4,在管理上遇到了哪些障碍？,Q4.2.1
Q4.2.1.5,你们如何检查这些措施的效果？,Q4.2.1
Q4.2.2.1,你们有没有采取措施来应对本地或物理软件更新过程中的攻击？,Q4.2.2
Q4.2.2.2,具体采取了哪些措施？,Q4.2.2
Q4.2.2.3,在技术上遇到了哪些障碍？,Q4.2.2
Q4.2.2.4,在管理上遇到了哪些障碍？,Q4.2.2
Q4.2.2.5,你们如何检查这些措施的效果？,Q4.2.2
Q4.2.3.1,即使更新过程本身没有问题，你们有没有采取措施来应对软件在更新前被篡改或破坏的威胁？,Q4.2.3
Q4.2.3.2,具体采取了哪些措施？,Q4.2.3
Q4.2.3.3,在技术上遇到了哪些障碍？,Q4.2.3
Q4.2.3.4,在管理上遇到了哪些障碍？,Q4.2.3
Q4.2.3.5,你们如何检查这些措施的效果？,Q4.2.3
Q4.2.4.1,你们有没有采取措施来应对软件供应商的加密密钥被盗用的风险？这可能会导致非法的软件更新。,Q4.2.4
Q4.2.4.2,具体采取了哪些措施？,Q4.2.4
Q4.2.4.3,在技术上遇到了哪些障碍？,Q4.2.4
Q4.2.4.4,在管理上遇到了哪些障碍？,Q4.2.4
Q4.2.4.5,你们如何检查这些措施的效果？,Q4.2.4
Q4.2.5.1,你们有没有采取措施来应对针对更新服务器或网络的拒绝服务（DoS）攻击？这可能会阻止关键软件更新的发布或客户特定功能的激活。,Q4.2.5
Q4.2.5.2,具体采取了哪些措施？,Q4.2.5
Q4.2.5.3,在技术上遇到了哪些障碍？,Q4.2.5
Q4.2.5.4,在管理上遇到了哪些障碍？,Q4.2.5
Q4.2.5.5,你们如何检查这些措施的效果？,Q4.2.5
Q4.3.1.1,你们有没有采取措施来应对普通用户（如车主、运营商或维修工程师）被诱导进行无意中安装恶意软件或导致攻击的行为？,Q4.3.1
Q4.3.1.2,具体采取了哪些措施？,Q4.3.1
Q4.3.1.3,在技术上遇到了哪些障碍？,Q4.3.1
Q4.3.1.4,在管理上遇到了哪些障碍？,Q4.3.1
Q4.3.1.5,你们如何检查这些措施的效果？,Q4.3.1
Q4.3.2.1,你们有没有采取措施来应对由于未遵守既定安全流程而带来的威胁？,Q4.3.2
Q4.3.2.2,具体采取了哪些措施？,Q4.3.2
Q4.3.2.3,在技术上遇到了哪些障碍？,Q4.3.2
Q4.3.2.4,在管理上遇到了哪些障碍？,Q4.3.2
Q4.3.2.5,你们如何检查这些措施的效果？,Q4.3.2
Q4.4.1.1,你们有没有采取措施来应对针对远程操作车辆功能（如远程钥匙、发动机防盗锁止系统或充电站）的操纵威胁？,Q4.4.1
Q4.4.1.2,具体采取了哪些措施？,Q4.4.1
Q4.4.1.3,在技术上遇到了哪些障碍？,Q4.4.1
Q4.4.1.4,在管理上遇到了哪些障碍？,Q4.4.1
Q4.4.1.5,你们如何检查这些措施的效果？,Q4.4.1
Q4.4.2.1,你们有没有采取措施来应对针对车辆远程信息处理（Telematics）的操纵？比如篡改敏感货物的温度读数或远程解锁货舱门。,Q4.4.2
Q4.4.2.2,具体采取了哪些措施？,Q4.4.2
Q4.4.2.3,在技术上遇到了哪些障碍？,Q4.4.2
Q4.4.2.4,在管理上遇到了哪些障碍？,Q4.4.2
Q4.4.2.5,你们如何检查这些措施的效果？,Q4.4.2
Q4.4.3.1,你们有没有采取措施来应对针对短距离无线系统或传感器的干扰威胁？,Q4.4.3
Q4.4.3.2,具体采取了哪些措施？,Q4.4.3
Q4.4.3.3,在技术上遇到了哪些障碍？,Q4.4.3
Q4.4.3.4,在管理上遇到了哪些障碍？,Q4.4.3
Q4.4.3.5,你们如何检查这些措施的效果？,Q4.4.3
Q4.4.4.1,你们有没有采取措施来应对利用受损应用或安全性较弱的应用攻击车辆系统的威胁？,Q4.4.4
